method_1,method_2,forecast_quarter,intersection_size,union_size,jaccard_similarity
OCMT,Threshold ridge,2011 Q2,3,15,0.2
OCMT,Threshold ridge,2011 Q3,2,16,0.125
OCMT,Threshold ridge,2011 Q4,3,18,0.16666666666666666
OCMT,Threshold ridge,2012 Q1,3,16,0.1875
OCMT,Threshold ridge,2012 Q2,3,16,0.1875
OCMT,Threshold ridge,2012 Q3,3,17,0.17647058823529413
OCMT,Threshold ridge,2012 Q4,3,15,0.2
OCMT,Threshold ridge,2013 Q1,3,17,0.17647058823529413
OCMT,Threshold ridge,2013 Q2,3,16,0.1875
OCMT,Threshold ridge,2013 Q3,3,16,0.1875
OCMT,Threshold ridge,2013 Q4,3,16,0.1875
OCMT,Threshold ridge,2014 Q1,3,18,0.16666666666666666
OCMT,Threshold ridge,2014 Q2,3,17,0.17647058823529413
OCMT,Threshold ridge,2014 Q3,3,17,0.17647058823529413
OCMT,Threshold ridge,2014 Q4,4,18,0.2222222222222222
OCMT,Threshold ridge,2015 Q1,4,16,0.25
OCMT,Threshold ridge,2015 Q2,3,18,0.16666666666666666
OCMT,Threshold ridge,2015 Q3,3,18,0.16666666666666666
OCMT,Threshold ridge,2015 Q4,3,18,0.16666666666666666
OCMT,Threshold ridge,2016 Q1,3,17,0.17647058823529413
OCMT,Threshold ridge,2016 Q2,4,16,0.25
OCMT,Threshold ridge,2016 Q3,4,16,0.25
OCMT,Threshold ridge,2016 Q4,4,17,0.23529411764705882
OCMT,Threshold ridge,2017 Q1,4,17,0.23529411764705882
OCMT,Threshold ridge,2017 Q2,4,15,0.26666666666666666
OCMT,Threshold ridge,2017 Q3,4,16,0.25
OCMT,Threshold ridge,2017 Q4,4,16,0.25
OCMT,Threshold ridge,2018 Q1,5,17,0.29411764705882354
OCMT,Threshold ridge,2018 Q2,5,17,0.29411764705882354
OCMT,Threshold ridge,2018 Q3,4,14,0.2857142857142857
OCMT,Threshold ridge,2018 Q4,6,15,0.4
OCMT,Threshold ridge,2019 Q1,5,15,0.3333333333333333
OCMT,Threshold ridge,2019 Q2,5,15,0.3333333333333333
OCMT,Threshold ridge,2019 Q3,4,15,0.26666666666666666
OCMT,Post-threshold ridge,2005 Q2,2,13,0.15384615384615385
OCMT,Post-threshold ridge,2005 Q3,2,14,0.14285714285714285
OCMT,Post-threshold ridge,2005 Q4,2,14,0.14285714285714285
OCMT,Post-threshold ridge,2006 Q1,2,17,0.11764705882352941
OCMT,Post-threshold ridge,2006 Q2,2,13,0.15384615384615385
OCMT,Post-threshold ridge,2006 Q3,1,16,0.0625
OCMT,Post-threshold ridge,2006 Q4,2,15,0.13333333333333333
OCMT,Post-threshold ridge,2007 Q1,2,16,0.125
OCMT,Post-threshold ridge,2007 Q2,2,15,0.13333333333333333
OCMT,Post-threshold ridge,2007 Q3,2,15,0.13333333333333333
OCMT,Post-threshold ridge,2007 Q4,1,15,0.06666666666666667
OCMT,Post-threshold ridge,2008 Q1,1,14,0.07142857142857142
OCMT,Post-threshold ridge,2008 Q2,2,15,0.13333333333333333
OCMT,Post-threshold ridge,2008 Q3,1,14,0.07142857142857142
OCMT,Post-threshold ridge,2008 Q4,2,21,0.09523809523809523
OCMT,Post-threshold ridge,2009 Q1,2,17,0.11764705882352941
OCMT,Post-threshold ridge,2009 Q2,2,17,0.11764705882352941
OCMT,Post-threshold ridge,2009 Q3,1,18,0.05555555555555555
OCMT,Post-threshold ridge,2009 Q4,1,16,0.0625
OCMT,Post-threshold ridge,2010 Q1,1,19,0.05263157894736842
OCMT,Post-threshold ridge,2010 Q2,2,18,0.1111111111111111
OCMT,Post-threshold ridge,2010 Q3,2,17,0.11764705882352941
OCMT,Post-threshold ridge,2010 Q4,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2011 Q1,2,16,0.125
OCMT,Post-threshold ridge,2011 Q2,3,15,0.2
OCMT,Post-threshold ridge,2011 Q3,2,16,0.125
OCMT,Post-threshold ridge,2011 Q4,3,18,0.16666666666666666
OCMT,Post-threshold ridge,2012 Q1,3,16,0.1875
OCMT,Post-threshold ridge,2012 Q2,3,16,0.1875
OCMT,Post-threshold ridge,2012 Q3,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2012 Q4,3,15,0.2
OCMT,Post-threshold ridge,2013 Q1,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2013 Q2,3,16,0.1875
OCMT,Post-threshold ridge,2013 Q3,3,16,0.1875
OCMT,Post-threshold ridge,2013 Q4,3,16,0.1875
OCMT,Post-threshold ridge,2014 Q1,3,18,0.16666666666666666
OCMT,Post-threshold ridge,2014 Q2,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2014 Q3,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2014 Q4,4,18,0.2222222222222222
OCMT,Post-threshold ridge,2015 Q1,4,16,0.25
OCMT,Post-threshold ridge,2015 Q2,3,18,0.16666666666666666
OCMT,Post-threshold ridge,2015 Q3,3,18,0.16666666666666666
OCMT,Post-threshold ridge,2015 Q4,3,18,0.16666666666666666
OCMT,Post-threshold ridge,2016 Q1,3,17,0.17647058823529413
OCMT,Post-threshold ridge,2016 Q2,4,16,0.25
OCMT,Post-threshold ridge,2016 Q3,4,16,0.25
OCMT,Post-threshold ridge,2016 Q4,4,17,0.23529411764705882
OCMT,Post-threshold ridge,2017 Q1,4,17,0.23529411764705882
OCMT,Post-threshold ridge,2017 Q2,4,15,0.26666666666666666
OCMT,Post-threshold ridge,2017 Q3,4,16,0.25
OCMT,Post-threshold ridge,2017 Q4,4,16,0.25
OCMT,Post-threshold ridge,2018 Q1,5,17,0.29411764705882354
OCMT,Post-threshold ridge,2018 Q2,5,17,0.29411764705882354
OCMT,Post-threshold ridge,2018 Q3,4,14,0.2857142857142857
OCMT,Post-threshold ridge,2018 Q4,6,15,0.4
OCMT,Post-threshold ridge,2019 Q1,5,15,0.3333333333333333
OCMT,Post-threshold ridge,2019 Q2,5,15,0.3333333333333333
OCMT,Post-threshold ridge,2019 Q3,4,15,0.26666666666666666
BMT,LASSO,2005 Q2,1,4,0.25
BMT,LASSO,2005 Q3,0,1,0
BMT,LASSO,2005 Q4,0,1,0
BMT,LASSO,2006 Q1,0,1,0
BMT,LASSO,2006 Q2,1,1,1
BMT,LASSO,2006 Q3,1,2,0.5
BMT,LASSO,2006 Q4,0,1,0
BMT,LASSO,2007 Q1,0,1,0
BMT,LASSO,2007 Q2,0,2,0
BMT,LASSO,2007 Q3,0,2,0
BMT,LASSO,2007 Q4,0,1,0
BMT,LASSO,2008 Q1,1,2,0.5
BMT,LASSO,2008 Q2,0,2,0
BMT,LASSO,2008 Q3,0,1,0
BMT,LASSO,2008 Q4,0,1,0
BMT,LASSO,2009 Q1,0,1,0
BMT,LASSO,2009 Q2,0,1,0
BMT,LASSO,2009 Q3,0,1,0
BMT,LASSO,2009 Q4,1,1,1
BMT,LASSO,2010 Q1,0,1,0
BMT,LASSO,2010 Q2,0,1,0
BMT,LASSO,2010 Q3,0,1,0
BMT,LASSO,2010 Q4,0,2,0
BMT,LASSO,2011 Q1,0,1,0
BMT,LASSO,2011 Q2,0,1,0
BMT,LASSO,2011 Q3,1,1,1
BMT,LASSO,2011 Q4,0,1,0
BMT,LASSO,2012 Q1,1,1,1
BMT,LASSO,2012 Q2,1,1,1
BMT,LASSO,2012 Q3,0,1,0
BMT,LASSO,2012 Q4,0,1,0
BMT,LASSO,2013 Q1,1,1,1
BMT,LASSO,2013 Q2,0,1,0
BMT,LASSO,2013 Q3,0,1,0
BMT,LASSO,2013 Q4,1,1,1
BMT,LASSO,2014 Q1,0,1,0
BMT,LASSO,2014 Q2,0,1,0
BMT,LASSO,2014 Q3,1,1,1
BMT,LASSO,2014 Q4,1,3,0.3333333333333333
BMT,LASSO,2015 Q1,1,6,0.16666666666666666
BMT,LASSO,2015 Q2,1,6,0.16666666666666666
BMT,LASSO,2015 Q3,1,3,0.3333333333333333
BMT,LASSO,2015 Q4,1,3,0.3333333333333333
BMT,LASSO,2016 Q1,2,4,0.5
BMT,LASSO,2016 Q2,1,2,0.5
BMT,LASSO,2016 Q3,1,2,0.5
BMT,LASSO,2016 Q4,1,2,0.5
BMT,LASSO,2017 Q1,0,2,0
BMT,LASSO,2017 Q2,2,3,0.6666666666666666
BMT,LASSO,2017 Q3,2,3,0.6666666666666666
BMT,LASSO,2017 Q4,0,2,0
BMT,LASSO,2018 Q1,0,2,0
BMT,LASSO,2018 Q2,0,2,0
BMT,LASSO,2018 Q3,1,1,1
BMT,LASSO,2018 Q4,0,1,0
BMT,LASSO,2019 Q1,0,1,0
BMT,LASSO,2019 Q2,0,1,0
BMT,LASSO,2019 Q3,1,1,1
BMT,Elastic net,2005 Q2,1,4,0.25
BMT,Elastic net,2005 Q3,0,1,0
BMT,Elastic net,2005 Q4,0,1,0
BMT,Elastic net,2006 Q1,0,1,0
BMT,Elastic net,2006 Q2,1,1,1
BMT,Elastic net,2006 Q3,1,3,0.3333333333333333
BMT,Elastic net,2006 Q4,1,1,1
BMT,Elastic net,2007 Q1,0,1,0
BMT,Elastic net,2007 Q2,0,1,0
BMT,Elastic net,2007 Q3,0,1,0
BMT,Elastic net,2007 Q4,0,1,0
BMT,Elastic net,2008 Q1,1,3,0.3333333333333333
BMT,Elastic net,2008 Q2,1,2,0.5
BMT,Elastic net,2008 Q3,0,1,0
BMT,Elastic net,2008 Q4,0,1,0
BMT,Elastic net,2009 Q1,0,1,0
BMT,Elastic net,2009 Q2,0,2,0
BMT,Elastic net,2009 Q3,0,2,0
BMT,Elastic net,2009 Q4,0,1,0
BMT,Elastic net,2010 Q1,0,1,0
BMT,Elastic net,2010 Q2,0,1,0
BMT,Elastic net,2010 Q3,1,1,1
BMT,Elastic net,2010 Q4,0,1,0
BMT,Elastic net,2011 Q1,1,1,1
BMT,Elastic net,2011 Q2,0,1,0
BMT,Elastic net,2011 Q3,1,1,1
BMT,Elastic net,2011 Q4,0,1,0
BMT,Elastic net,2012 Q1,0,1,0
BMT,Elastic net,2012 Q2,1,1,1
BMT,Elastic net,2012 Q3,0,1,0
BMT,Elastic net,2012 Q4,0,1,0
BMT,Elastic net,2013 Q1,1,1,1
BMT,Elastic net,2013 Q2,0,1,0
BMT,Elastic net,2013 Q3,0,1,0
BMT,Elastic net,2013 Q4,0,1,0
BMT,Elastic net,2014 Q1,1,1,1
BMT,Elastic net,2014 Q2,1,3,0.3333333333333333
BMT,Elastic net,2014 Q3,1,3,0.3333333333333333
BMT,Elastic net,2014 Q4,1,5,0.2
BMT,Elastic net,2015 Q1,1,7,0.14285714285714285
BMT,Elastic net,2015 Q2,1,7,0.14285714285714285
BMT,Elastic net,2015 Q3,1,5,0.2
BMT,Elastic net,2015 Q4,1,3,0.3333333333333333
BMT,Elastic net,2016 Q1,2,5,0.4
BMT,Elastic net,2016 Q2,1,2,0.5
BMT,Elastic net,2016 Q3,1,2,0.5
BMT,Elastic net,2016 Q4,0,2,0
BMT,Elastic net,2017 Q1,0,2,0
BMT,Elastic net,2017 Q2,2,3,0.6666666666666666
BMT,Elastic net,2017 Q3,2,3,0.6666666666666666
BMT,Elastic net,2017 Q4,0,2,0
BMT,Elastic net,2018 Q1,0,2,0
BMT,Elastic net,2018 Q2,0,2,0
BMT,Elastic net,2018 Q3,0,1,0
BMT,Elastic net,2018 Q4,0,1,0
BMT,Elastic net,2019 Q1,0,1,0
BMT,Elastic net,2019 Q2,0,1,0
BMT,Elastic net,2019 Q3,1,1,1
BMT,Threshold ridge,2005 Q2,1,13,0.07692307692307693
BMT,Threshold ridge,2005 Q3,1,14,0.07142857142857142
BMT,Threshold ridge,2005 Q4,1,14,0.07142857142857142
BMT,Threshold ridge,2006 Q1,1,17,0.058823529411764705
BMT,Threshold ridge,2006 Q2,1,13,0.07692307692307693
BMT,Threshold ridge,2006 Q3,1,16,0.0625
BMT,Threshold ridge,2006 Q4,1,15,0.06666666666666667
BMT,Threshold ridge,2007 Q1,1,16,0.0625
BMT,Threshold ridge,2007 Q2,1,15,0.06666666666666667
BMT,Threshold ridge,2007 Q3,1,15,0.06666666666666667
BMT,Threshold ridge,2007 Q4,1,15,0.06666666666666667
BMT,Threshold ridge,2008 Q1,1,14,0.07142857142857142
BMT,Threshold ridge,2008 Q2,1,15,0.06666666666666667
BMT,Threshold ridge,2008 Q3,1,14,0.07142857142857142
BMT,Threshold ridge,2008 Q4,1,21,0.047619047619047616
BMT,Threshold ridge,2009 Q1,1,17,0.058823529411764705
BMT,Threshold ridge,2009 Q2,1,17,0.058823529411764705
BMT,Threshold ridge,2009 Q3,1,18,0.05555555555555555
BMT,Threshold ridge,2009 Q4,1,16,0.0625
BMT,Threshold ridge,2010 Q1,1,19,0.05263157894736842
BMT,Threshold ridge,2010 Q2,1,18,0.05555555555555555
BMT,Threshold ridge,2010 Q3,1,17,0.058823529411764705
BMT,Threshold ridge,2010 Q4,1,17,0.058823529411764705
BMT,Threshold ridge,2011 Q1,1,16,0.0625
BMT,Threshold ridge,2011 Q2,1,15,0.06666666666666667
BMT,Threshold ridge,2011 Q3,1,16,0.0625
BMT,Threshold ridge,2011 Q4,1,18,0.05555555555555555
BMT,Threshold ridge,2012 Q1,1,16,0.0625
BMT,Threshold ridge,2012 Q2,1,16,0.0625
BMT,Threshold ridge,2012 Q3,1,17,0.058823529411764705
BMT,Threshold ridge,2012 Q4,1,15,0.06666666666666667
BMT,Threshold ridge,2013 Q1,1,17,0.058823529411764705
BMT,Threshold ridge,2013 Q2,1,16,0.0625
BMT,Threshold ridge,2013 Q3,1,16,0.0625
BMT,Threshold ridge,2013 Q4,1,16,0.0625
BMT,Threshold ridge,2014 Q1,1,18,0.05555555555555555
BMT,Threshold ridge,2014 Q2,1,17,0.058823529411764705
BMT,Threshold ridge,2014 Q3,1,17,0.058823529411764705
BMT,Threshold ridge,2014 Q4,1,18,0.05555555555555555
BMT,Threshold ridge,2015 Q1,1,16,0.0625
BMT,Threshold ridge,2015 Q2,1,18,0.05555555555555555
BMT,Threshold ridge,2015 Q3,1,18,0.05555555555555555
BMT,Threshold ridge,2015 Q4,1,18,0.05555555555555555
BMT,Threshold ridge,2016 Q1,2,17,0.11764705882352941
BMT,Threshold ridge,2016 Q2,2,16,0.125
BMT,Threshold ridge,2016 Q3,2,16,0.125
BMT,Threshold ridge,2016 Q4,2,17,0.11764705882352941
BMT,Threshold ridge,2017 Q1,2,17,0.11764705882352941
BMT,Threshold ridge,2017 Q2,2,15,0.13333333333333333
BMT,Threshold ridge,2017 Q3,2,16,0.125
BMT,Threshold ridge,2017 Q4,2,16,0.125
BMT,Threshold ridge,2018 Q1,2,17,0.11764705882352941
BMT,Threshold ridge,2018 Q2,2,17,0.11764705882352941
BMT,Threshold ridge,2018 Q3,1,14,0.07142857142857142
BMT,Threshold ridge,2018 Q4,1,15,0.06666666666666667
BMT,Threshold ridge,2019 Q1,1,15,0.06666666666666667
BMT,Threshold ridge,2019 Q2,1,15,0.06666666666666667
BMT,Threshold ridge,2019 Q3,1,15,0.06666666666666667
BMT,Post-threshold ridge,2005 Q2,1,13,0.07692307692307693
BMT,Post-threshold ridge,2005 Q3,1,14,0.07142857142857142
BMT,Post-threshold ridge,2005 Q4,1,14,0.07142857142857142
BMT,Post-threshold ridge,2006 Q1,1,17,0.058823529411764705
BMT,Post-threshold ridge,2006 Q2,1,13,0.07692307692307693
BMT,Post-threshold ridge,2006 Q3,1,16,0.0625
BMT,Post-threshold ridge,2006 Q4,1,15,0.06666666666666667
BMT,Post-threshold ridge,2007 Q1,1,16,0.0625
BMT,Post-threshold ridge,2007 Q2,1,15,0.06666666666666667
BMT,Post-threshold ridge,2007 Q3,1,15,0.06666666666666667
BMT,Post-threshold ridge,2007 Q4,1,15,0.06666666666666667
BMT,Post-threshold ridge,2008 Q1,1,14,0.07142857142857142
BMT,Post-threshold ridge,2008 Q2,1,15,0.06666666666666667
BMT,Post-threshold ridge,2008 Q3,1,14,0.07142857142857142
BMT,Post-threshold ridge,2008 Q4,1,21,0.047619047619047616
BMT,Post-threshold ridge,2009 Q1,1,17,0.058823529411764705
BMT,Post-threshold ridge,2009 Q2,1,17,0.058823529411764705
BMT,Post-threshold ridge,2009 Q3,1,18,0.05555555555555555
BMT,Post-threshold ridge,2009 Q4,1,16,0.0625
BMT,Post-threshold ridge,2010 Q1,1,19,0.05263157894736842
BMT,Post-threshold ridge,2010 Q2,1,18,0.05555555555555555
BMT,Post-threshold ridge,2010 Q3,1,17,0.058823529411764705
BMT,Post-threshold ridge,2010 Q4,1,17,0.058823529411764705
BMT,Post-threshold ridge,2011 Q1,1,16,0.0625
BMT,Post-threshold ridge,2011 Q2,1,15,0.06666666666666667
BMT,Post-threshold ridge,2011 Q3,1,16,0.0625
BMT,Post-threshold ridge,2011 Q4,1,18,0.05555555555555555
BMT,Post-threshold ridge,2012 Q1,1,16,0.0625
BMT,Post-threshold ridge,2012 Q2,1,16,0.0625
BMT,Post-threshold ridge,2012 Q3,1,17,0.058823529411764705
BMT,Post-threshold ridge,2012 Q4,1,15,0.06666666666666667
BMT,Post-threshold ridge,2013 Q1,1,17,0.058823529411764705
BMT,Post-threshold ridge,2013 Q2,1,16,0.0625
BMT,Post-threshold ridge,2013 Q3,1,16,0.0625
BMT,Post-threshold ridge,2013 Q4,1,16,0.0625
BMT,Post-threshold ridge,2014 Q1,1,18,0.05555555555555555
BMT,Post-threshold ridge,2014 Q2,1,17,0.058823529411764705
BMT,Post-threshold ridge,2014 Q3,1,17,0.058823529411764705
BMT,Post-threshold ridge,2014 Q4,1,18,0.05555555555555555
BMT,Post-threshold ridge,2015 Q1,1,16,0.0625
BMT,Post-threshold ridge,2015 Q2,1,18,0.05555555555555555
BMT,Post-threshold ridge,2015 Q3,1,18,0.05555555555555555
BMT,Post-threshold ridge,2015 Q4,1,18,0.05555555555555555
BMT,Post-threshold ridge,2016 Q1,2,17,0.11764705882352941
BMT,Post-threshold ridge,2016 Q2,2,16,0.125
BMT,Post-threshold ridge,2016 Q3,2,16,0.125
BMT,Post-threshold ridge,2016 Q4,2,17,0.11764705882352941
BMT,Post-threshold ridge,2017 Q1,2,17,0.11764705882352941
BMT,Post-threshold ridge,2017 Q2,2,15,0.13333333333333333
BMT,Post-threshold ridge,2017 Q3,2,16,0.125
BMT,Post-threshold ridge,2017 Q4,2,16,0.125
BMT,Post-threshold ridge,2018 Q1,2,17,0.11764705882352941
BMT,Post-threshold ridge,2018 Q2,2,17,0.11764705882352941
BMT,Post-threshold ridge,2018 Q3,1,14,0.07142857142857142
BMT,Post-threshold ridge,2018 Q4,1,15,0.06666666666666667
BMT,Post-threshold ridge,2019 Q1,1,15,0.06666666666666667
BMT,Post-threshold ridge,2019 Q2,1,15,0.06666666666666667
BMT,Post-threshold ridge,2019 Q3,1,15,0.06666666666666667
BMT,OCMT,2005 Q2,1,2,0.5
BMT,OCMT,2005 Q3,1,2,0.5
BMT,OCMT,2005 Q4,1,2,0.5
BMT,OCMT,2006 Q1,1,2,0.5
BMT,OCMT,2006 Q2,1,2,0.5
BMT,OCMT,2006 Q3,1,1,1
BMT,OCMT,2006 Q4,1,2,0.5
BMT,OCMT,2007 Q1,1,2,0.5
BMT,OCMT,2007 Q2,1,2,0.5
BMT,OCMT,2007 Q3,1,2,0.5
BMT,OCMT,2007 Q4,1,1,1
BMT,OCMT,2008 Q1,1,1,1
BMT,OCMT,2008 Q2,1,2,0.5
BMT,OCMT,2008 Q3,1,1,1
BMT,OCMT,2008 Q4,1,2,0.5
BMT,OCMT,2009 Q1,1,2,0.5
BMT,OCMT,2009 Q2,1,2,0.5
BMT,OCMT,2009 Q3,1,1,1
BMT,OCMT,2009 Q4,1,1,1
BMT,OCMT,2010 Q1,1,1,1
BMT,OCMT,2010 Q2,1,2,0.5
BMT,OCMT,2010 Q3,1,2,0.5
BMT,OCMT,2010 Q4,1,3,0.3333333333333333
BMT,OCMT,2011 Q1,1,2,0.5
BMT,OCMT,2011 Q2,1,3,0.3333333333333333
BMT,OCMT,2011 Q3,1,2,0.5
BMT,OCMT,2011 Q4,1,3,0.3333333333333333
BMT,OCMT,2012 Q1,1,3,0.3333333333333333
BMT,OCMT,2012 Q2,1,3,0.3333333333333333
BMT,OCMT,2012 Q3,1,3,0.3333333333333333
BMT,OCMT,2012 Q4,1,3,0.3333333333333333
BMT,OCMT,2013 Q1,1,3,0.3333333333333333
BMT,OCMT,2013 Q2,1,3,0.3333333333333333
BMT,OCMT,2013 Q3,1,3,0.3333333333333333
BMT,OCMT,2013 Q4,1,3,0.3333333333333333
BMT,OCMT,2014 Q1,1,3,0.3333333333333333
BMT,OCMT,2014 Q2,1,3,0.3333333333333333
BMT,OCMT,2014 Q3,1,3,0.3333333333333333
BMT,OCMT,2014 Q4,1,4,0.25
BMT,OCMT,2015 Q1,1,4,0.25
BMT,OCMT,2015 Q2,1,3,0.3333333333333333
BMT,OCMT,2015 Q3,1,3,0.3333333333333333
BMT,OCMT,2015 Q4,1,3,0.3333333333333333
BMT,OCMT,2016 Q1,1,4,0.25
BMT,OCMT,2016 Q2,2,4,0.5
BMT,OCMT,2016 Q3,2,4,0.5
BMT,OCMT,2016 Q4,2,4,0.5
BMT,OCMT,2017 Q1,2,4,0.5
BMT,OCMT,2017 Q2,2,4,0.5
BMT,OCMT,2017 Q3,2,4,0.5
BMT,OCMT,2017 Q4,2,4,0.5
BMT,OCMT,2018 Q1,2,5,0.4
BMT,OCMT,2018 Q2,2,5,0.4
BMT,OCMT,2018 Q3,1,4,0.25
BMT,OCMT,2018 Q4,1,6,0.16666666666666666
BMT,OCMT,2019 Q1,1,5,0.2
BMT,OCMT,2019 Q2,1,5,0.2
BMT,OCMT,2019 Q3,1,4,0.25
